Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,Daily_Return,Volatility_20d,RSI_14,MACD,MACD_Signal,USD_Close,USD_Return_5d,SP500_Close,SP500_Return_5d
2016-08-21,581.3079833984375,584.1580200195312,580.218017578125,581.9390258789062,38299400,579.1083099365235,626.2095861816406,-0.0006687984836930561,0.4136916513228608,40.07603567205466,-13.833363796162985,-16.333527667194232,94.51000213623048,-0.0029538851840119618,2183.8701171875,0.0026261805202638655
2016-08-22,586.7529907226562,588.447998046875,580.593994140625,581.3109741210938,72844000,581.0727081298828,624.7713659667969,0.009366820136180065,0.21210426556118256,46.48351341263077,-12.361301428083493,-15.539082419372086,94.5199966430664,-0.0021115347873644774,2182.639892578125,0.00019242875632952128
2016-08-23,583.4149780273438,589.4739990234375,581.6339721679688,586.77099609375,85349200,581.9257080078125,622.76642578125,-0.005688957275192363,0.17985132880703866,46.41897865071226,-11.333386893993861,-14.697943314296442,94.54000091552734,0.00403565461596167,2186.89990234375,-5.4922765419296304e-05
2016-08-24,580.1820068359375,583.5900268554688,579.85498046875,583.4119873046875,56328200,582.0203582763672,620.9575256347656,-0.0055414607323549525,0.16579020011504528,40.09407167868345,-10.656786178634206,-13.889711887163996,94.79000091552734,0.0029626364719921305,2175.43994140625,-0.00386020016250177
2016-08-25,577.760986328125,580.4509887695312,575.1669921875,580.1799926757812,136130000,582.1562561035156,618.9661254882812,-0.004172863824260409,0.16519644634398573,40.472089908625115,-10.198370887410078,-13.151443687213213,94.7699966430664,0.00275097345211317,2172.469970703125,-0.005220157734955766
2016-08-26,579.6510009765625,580.6229858398438,576.8579711914062,577.7529907226562,48856800,581.7499053955078,617.7479052734375,0.0032712742693985497,0.1443413307983543,43.40318545213115,-9.572222457801558,-12.435599441330883,95.56999969482422,0.011215718279910858,2169.0400390625,-0.006790732657718235
2016-08-27,569.947021484375,579.844970703125,568.6300048828125,579.4520263671875,59698300,580.6127563476563,615.8163854980469,-0.016741072603754348,0.15089909756748116,38.44338176137614,-9.746671796285113,-11.89781391232173,95.56999969482422,0.011108792732218431,2169.0400390625,-0.006230919521754363
2016-08-28,573.9119873046875,574.0380249023438,569.739990234375,569.8300170898438,86301600,579.7556549072266,614.2754248046875,0.006956726977862093,0.15408253665583,53.04219463048112,-9.455981875855286,-11.409447505028442,95.56999969482422,0.01089484630127302,2169.0400390625,-0.008166749315827948
2016-08-29,574.1069946289062,576.2780151367188,573.4650268554688,574.0709838867188,110398000,579.0709533691406,612.7703649902344,0.0003397861144782688,0.15342598200545177,56.41978985857051,-9.10491674565651,-10.948541353154056,95.58000183105467,0.008334222047653883,2180.3798828125,0.002270778113532712
2016-08-30,577.5029907226562,578.3569946289062,574.114013671875,574.114013671875,70342400,578.340951538086,611.3672448730468,0.0059152668849560275,0.15247843163234193,50.068514106845406,-8.455200311433373,-10.449873144809919,96.0500030517578,0.013506451978808176,2176.1201171875,0.0016801827107388867
2016-08-31,575.4719848632812,577.8610229492188,573.6420288085938,577.5910034179688,75840896,577.6585510253906,609.5856640625,-0.0035168750500036428,0.15206611664160877,52.53549222655757,-8.011825221420395,-9.962263560132016,96.0199966430664,0.004708558644753946,2170.949951171875,0.0008805333580659269
2016-09-01,572.302978515625,576.3109741210938,571.8140258789062,575.5460205078125,76923400,576.8957489013671,607.94236328125,-0.005506795171634882,0.15278194902382647,47.83587979411556,-7.825946951036144,-9.535000238312842,95.6500015258789,0.0008371019285355885,2170.860107421875,0.0008391123845559179
2016-09-02,575.5369873046875,575.6430053710938,570.8109741210938,572.4099731445312,79910800,576.393197631836,606.29154296875,0.0056508683520231084,0.15448714097129193,49.904060192786126,-7.333147639772392,-9.094629718604752,95.87999725341795,0.0032436701850331318,2179.97998046875,0.005043678866794243
2016-09-03,598.2119750976562,599.5,574.0560302734375,575.5549926757812,159014000,577.7801452636719,604.9906823730469,0.03939796797275985,0.18497430129217032,62.68721520922246,-5.054651744160651,-8.286634123715931,95.87999725341795,0.003138683998913816,2179.97998046875,-0.00018340948148642955
2016-09-04,608.6339721679688,611.8369750976562,596.8480224609375,598.5900268554688,97942896,579.8498443603515,603.9480212402344,0.01742191314142638,0.18964958495787876,68.18871355525528,-2.3805181366431043,-7.105410926301366,95.87999725341795,-0.0017699718161199307,2179.97998046875,0.001773736316650787
2016-09-05,606.5900268554688,609.0549926757812,602.2420043945312,608.989990234375,82446800,581.3073944091797,602.4906420898437,-0.0033582504525986323,0.1831982957165106,63.83009506302074,-0.42132057007927415,-5.768592855056948,95.87999725341795,-0.001458023271640685,2179.97998046875,0.0041594829452427096
2016-09-06,610.4359741210938,610.8300170898438,605.0910034179688,606.5059814453125,78529104,583.1683929443359,601.2372412109376,0.00634027447757779,0.1798504875576536,68.70616192243597,1.4252638644587705,-4.329821511153804,94.81999969482422,-0.008677488947348544,2186.47998046875,0.007195246249849463
2016-09-07,614.5440063476562,614.5449829101562,608.5130004882812,610.572998046875,75032400,585.1796936035156,600.0708410644531,0.006729669286737572,0.18020297156736537,73.50344711268305,3.1834820023045722,-2.827160808462129,94.95999908447266,-0.009595308670208635,2186.159912109375,0.0028348570610707835
