Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2016-08-25,1.511195182800293,1.5224929213916605,1.4922838348259797,1.5217561658175558,406032000
2016-08-26,1.523474931716919,1.5320709964526953,1.5030898443576794,1.5151244521003648,300024000
2016-08-29,1.52249276638031,1.5357553022649417,1.5200367976040476,1.5296153217679753,274652000
2016-08-30,1.513650894165039,1.5286326411427718,1.509475595607669,1.520527746271198,285544000
2016-08-31,1.5065280199050903,1.5207730084662185,1.5021072542685097,1.5165978279080505,388544000
2016-09-01,1.5509823560714722,1.5566311647874929,1.5065281732031484,1.5077562158327498,428492000
2016-09-02,1.5357553958892822,1.555894903222981,1.5183176768881614,1.5541756898410024,323148000
2016-09-06,1.5502456426620483,1.5502456426620483,1.5332990976631369,1.5411584073411113,306812000
2016-09-07,1.527405023574829,1.5529477580655269,1.518563370850238,1.5453340313355757,397988000
2016-09-08,1.538456916809082,1.5409130026077478,1.5084934195861075,1.5259311368836437,315808000
2016-09-09,1.4618291854858398,1.530106793933783,1.4490578174146211,1.5215107258522487,697760000
2016-09-12,1.4920381307601929,1.494985387278397,1.4077963203634616,1.4424264087834107,598260000
2016-09-13,1.4704245328903198,1.505545777872724,1.462074054116289,1.4883535330231878,471768000
2016-09-14,1.4834421873092651,1.488354242878661,1.4615835810148783,1.4738636613820468,319048000
2016-09-15,1.539684772491455,1.5414039854964279,1.4824592217345849,1.4858977648571328,515212000
2016-09-16,1.5433692932128906,1.553438989440021,1.5256858699569502,1.545088506785507,902444000
2016-09-19,1.5637539625167847,1.6028048107573765,1.552456226208101,1.5595786637692368,417128000
2016-09-20,1.5495089292526245,1.5816829242218968,1.5409128639560041,1.5816829242218968,331112000
2016-09-21,1.5929811000823975,1.5959283567443459,1.5539302420931789,1.5541758272962347,336212000
2016-09-22,1.5969101190567017,1.6072255136366451,1.5878228842723991,1.6023134600170612,308732000
2016-09-23,1.595191240310669,1.6035417215019845,1.5880688020596523,1.5988753691315658,276132000
2016-09-26,1.5802092552185059,1.5865949370193084,1.5603154544295152,1.5770164143181047,230040000
2016-09-27,1.6342418193817139,1.6366979048520949,1.573332375335038,1.5740691307085917,402752000
2016-09-28,1.6401362419128418,1.641364284581463,1.6192599849966574,1.6366978161307777,319788000
2016-09-29,1.6553640365600586,1.6605217937906604,1.6222076950069177,1.6374350301808365,336684000
