Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,Daily_Return,Volatility_20d,RSI_14,MACD,MACD_Signal,USD_Close,USD_Return_5d,SP500_Close,SP500_Return_5d
2016-09-30,1313.300048828125,1327.699951171875,1312.9000244140625,1320.5999755859375,868,1325.7600036621093,1331.4280029296874,-0.006355377660642536,0.12075801455597576,45.79236518198531,-1.9380281586022647,-1.6229900929405305,95.45999908447266,-0.0002095126912192713,2168.27001953125,0.001653852617190088
2016-10-03,1309.0,1316.800048828125,1308.199951171875,1313.5,299,1325.1050048828124,1331.1460034179688,-0.003274231834501151,0.11794908169699429,44.66949849559089,-2.969323749699697,-1.8922568242923639,95.75,0.00461654026520919,2161.199951171875,0.0070359502485999315
2016-10-04,1266.300048828125,1310.199951171875,1266.300048828125,1307.5999755859375,1893,1320.9500061035155,1330.0860034179686,-0.03262028355376245,0.14078922542017425,29.40296576741372,-7.1497443347866465,-2.943754326391221,96.12000274658205,0.007124898237437449,2150.489990234375,-0.004370485018039272
2016-10-05,1265.199951171875,1274.0,1261.300048828125,1272.0999755859375,246,1316.9950012207032,1328.9760034179687,-0.000868749596328322,0.1409915249529938,30.99917211069514,-10.431281138019813,-4.441259688716939,96.12999725341795,0.007335187530165044,2159.72998046875,-0.005360733587798983
2016-10-06,1249.800048828125,1265.300048828125,1249.800048828125,1265.300048828125,114,1312.645001220703,1327.4400048828124,-0.012171911901740162,0.14449610786945438,29.228456550874768,-14.111892995461176,-6.375386350065787,96.66000366210938,0.01172286723727689,2160.77001953125,0.004481429408691007
2016-10-07,1248.9000244140625,1263.5999755859375,1248.9000244140625,1253.9000244140625,169,1308.5850036621093,1325.7720043945312,-0.0007201347246756917,0.14463230714894662,24.76561047135398,-16.90654078010016,-8.481617236072662,96.5199966430664,0.011104101914517717,2153.739990234375,-0.006701208413155246
2016-10-11,1253.0,1258.9000244140625,1253.0,1258.9000244140625,26,1305.1850036621095,1323.8520043945311,0.0032828693296416134,0.145624385603488,26.990145521987472,-18.57634893180716,-10.500563575219562,97.6999969482422,0.020365503375897598,2136.72998046875,-0.011322400173966574
2016-10-12,1251.0999755859375,1254.0,1251.0999755859375,1251.699951171875,127,1301.7900024414062,1321.8460034179689,-0.001516380218725022,0.14562415120397768,18.57373926316407,-19.8244757967243,-12.365346019520512,97.97000122070312,0.019246758440057077,2139.179931640625,-0.005259293763333117
2016-10-13,1255.0,1259.0,1255.0,1258.699951171875,315,1298.4650024414063,1319.6580029296874,0.003117276388912016,0.1461877762127017,11.531478229120722,-20.265319959321232,-13.945340807480658,97.5199966430664,0.014459580041224163,2132.550048828125,-0.012584874908633692
2016-10-14,1253.0999755859375,1253.9000244140625,1250.5999755859375,1253.9000244140625,311,1295.445001220703,1317.5980029296875,-0.0015139636765437725,0.14562660039772757,11.668137373269786,-20.531335766929942,-15.262539799370515,98.0199966430664,0.01406986270879007,2132.97998046875,-0.012861173938598314
2016-10-17,1254.4000244140625,1255.0,1249.9000244140625,1249.9000244140625,41,1292.875,1315.5100024414062,0.001037466166669665,0.14545409705008974,10.691233766599055,-20.40206977501316,-16.290445794499046,97.88999938964844,0.01419397839028469,2126.5,-0.012647761734419283
2016-10-18,1260.800048828125,1261.699951171875,1260.800048828125,1260.9000244140625,11,1290.2400024414062,1313.9980029296876,0.0051020601797675535,0.14491072368598074,17.80415860209537,-19.557747522959062,-16.94390614019105,97.9000015258789,0.0020471298248112557,2139.60009765625,0.00134322877187798
2016-10-19,1267.9000244140625,1271.5,1262.9000244140625,1262.9000244140625,219,1287.9500061035155,1312.6880029296874,0.005631325595630177,0.14727845446428842,24.68042048861757,-18.106981352551884,-17.17652118266322,97.87000274658205,-0.0010207050410850904,2144.2900390625,0.0023888160814764525
2016-10-20,1265.5999755859375,1270.5,1265.5,1270.0,415,1284.8850036621093,1311.2200024414062,-0.0018140616640400786,0.14056114145093446,22.41891092234438,-16.947473503307947,-17.130711646792165,98.31999969482422,0.008203477023137173,2141.340087890625,0.004121844205874803
2016-10-21,1265.9000244140625,1265.9000244140625,1265.9000244140625,1265.9000244140625,224,1281.1600036621094,1309.652001953125,0.00023708030492497478,0.13306806143424987,24.67953357773422,-15.821958062444992,-16.86896092992273,98.6999969482422,0.006937363073495906,2141.159912109375,0.0038349781599109622
2016-10-24,1262.0,1269.199951171875,1261.800048828125,1269.199951171875,42,1277.4000061035156,1308.042001953125,-0.0030808312969798912,0.13306084159080456,24.78546056560873,-15.070949814885807,-16.509358706915346,98.66999816894533,0.007968115069570292,2151.330078125,0.011676500411474278
2016-10-25,1271.9000244140625,1274.0999755859375,1264.0999755859375,1264.0999755859375,61,1274.010009765625,1306.7640014648437,0.007844710312252312,0.13749187931921977,54.63572076742273,-13.521058786589265,-15.911698722850131,98.72000122070312,0.00837589052138532,2143.159912109375,0.001663775607892548
2016-10-26,1264.800048828125,1274.0,1264.800048828125,1274.0,279,1270.955010986328,1305.2540014648437,-0.005582180556375382,0.1349641269252174,49.698869381376966,-12.719050377695567,-15.273169053819219,98.62999725341795,0.007765346740653323,2139.429931640625,-0.002266534532800346
2016-10-27,1267.9000244140625,1269.4000244140625,1267.9000244140625,1269.4000244140625,338,1268.3800109863282,1303.602001953125,0.0024509609948304423,0.1356213453278346,66.72819045599056,-11.69845826839969,-14.558226896735315,98.88999938964844,0.005797393171210752,2133.0400390625,-0.0038761002397807998
2016-10-28,1275.5,1281.5,1262.0,1270.300048828125,560,1266.0700134277345,1302.2580029296876,0.005994144206637797,0.13797715448723383,71.87491843597851,-10.159267443510316,-13.678435006090316,98.3499984741211,-0.003546083940657474,2126.409912109375,-0.00688878953719485
2016-10-31,1271.5,1276.5999755859375,1271.5,1276.5999755859375,58,1263.9800109863281,1300.66400390625,-0.0031360250882006557,0.13701908178903968,65.2388307028975,-9.156661897588492,-12.774080384389952,98.4499969482422,-0.0022296668165173728,2126.14990234375,-0.011704468801549961
2016-11-01,1286.4000244140625,1290.699951171875,1279.0,1279.300048828125,49,1262.8500122070313,1299.58400390625,0.011718461985106066,0.1446813299872252,73.94840928063178,-7.078189372481347,-11.634902182008233,97.6999969482422,-0.010332295987117712,2111.719970703125,-0.014669899912090889
2016-11-02,1306.800048828125,1307.0,1288.300048828125,1288.300048828125,30,1264.8750122070312,1298.966005859375,0.015858227632850497,0.09830762551588926,78.71393384940183,-3.7417409807769673,-10.05626994176198,97.4000015258789,-0.012470807683170881,2097.93994140625,-0.019393011951813866
2016-11-03,1302.0999755859375,1303.0999755859375,1287.300048828125,1296.4000244140625,73,1266.7200134277343,1298.196005859375,-0.003596627690978682,0.09968109573986837,76.34401686403503,-1.460008157812581,-8.337017584972102,97.16000366210938,-0.017494142362388887,2088.659912109375,-0.020806044959489234
2016-11-04,1303.300048828125,1303.300048828125,1296.699951171875,1300.0,11,1269.3950134277343,1297.7740063476563,0.0009216444702315751,0.08580671155237142,76.31855923283827,0.4400448613548633,-6.58160509570671,97.06999969482422,-0.013014731053947903,2085.179931640625,-0.019389479062317916
2016-11-07,1278.300048828125,1294.5,1278.300048828125,1292.0,34,1270.8650146484374,1296.9380078125,-0.019182075549278865,0.11421161514461507,57.84751644934915,-0.07062636136424771,-5.279409348838218,97.77999877929688,-0.006805466629903112,2131.52001953125,0.002525747211699514
2016-11-08,1273.4000244140625,1289.4000244140625,1273.199951171875,1284.0999755859375,50,1271.8850158691407,1295.9760083007814,-0.00383323494241794,0.11526942617219293,52.51600423503554,-0.8608051773073839,-4.3956885145320514,97.86000061035156,0.0016377038598489602,2139.56005859375,0.01318360780636807
2016-11-09,1272.5999755859375,1318.5999755859375,1270.0,1272.199951171875,108,1272.9600158691405,1294.9700073242188,-0.0006282776918377087,0.11507229916457955,53.246744423055155,-1.5339029575429777,-3.823331403134237,98.5,0.011293618653885007,2163.260009765625,0.031135337609136116
2016-11-10,1265.5,1287.5,1253.300048828125,1274.4000244140625,63,1273.4850158691406,1294.0460083007813,-0.005579110264141374,0.11695217928222298,49.82546961296541,-2.61015821150545,-3.58069676480848,98.79000091552734,0.016776422313512507,2167.47998046875,0.0377371480643649
2016-11-14,1221.199951171875,1229.5,1210.4000244140625,1227.800048828125,216,1271.8900146484375,1292.3320068359376,-0.03500596509531806,0.1718998467770361,36.83871465676245,-6.957539776124122,-4.256065367071608,100.11000061035156,0.031317615381526,2164.199951171875,0.037896019586701524
